venue,innings,batting_team,bowling_team,striker,bowler,total_runs
Wankhede Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"['S Badrinath', 'MEK Hussey', 'SK Raina', 'M Vijay']","['A Mithun', 'Z Khan', 'S Aravind']",25
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,"['JH Kallis', 'SP Goswami', 'RN ten Doeschate', 'MK Tiwary', 'G Gambhir', 'YK Pathan']","['SL Malinga', 'Harbhajan Singh', 'DS Kulkarni', 'MM Patel']",24
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,"['SR Tendulkar', 'AC Blizzard']","['Iqbal Abdulla', 'B Lee', 'YK Pathan', 'Shakib Al Hasan']",62
"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Mumbai Indians,"['CH Gayle', 'MA Agarwal']","['SL Malinga', 'Harbhajan Singh', 'MM Patel', 'AN Ahmed']",62
"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Royal Challengers Bangalore,"['SR Tendulkar', 'AC Blizzard', 'RG Sharma', 'Harbhajan Singh']","['A Mithun', 'Z Khan', 'CH Gayle', 'S Aravind']",48
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Royal Challengers Bangalore,"['MEK Hussey', 'M Vijay']","['J Syed Mohammad', 'Z Khan', 'CH Gayle', 'S Aravind']",56
"MA Chidambaram Stadium, Chepauk",2,Royal Challengers Bangalore,Chennai Super Kings,"['V Kohli', 'CH Gayle', 'MA Agarwal', 'AB de Villiers']","['JA Morkel', 'DE Bollinger', 'R Ashwin']",47
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,"['DJ Bravo', 'F du Plessis', 'SK Raina', 'M Vijay']","['SL Malinga', 'Harbhajan Singh', 'JEC Franklin', 'AN Ahmed']",39
"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,"['SR Tendulkar', 'RE Levi']","['RA Jadeja', 'JA Morkel', 'R Ashwin', 'DE Bollinger']",53
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,"['JH Kallis', 'MK Tiwary', 'G Gambhir', 'BB McCullum', 'YK Pathan', 'DB Das']","['RE van der Merwe', 'M Morkel', 'UT Yadav', 'IK Pathan', 'GJ Maxwell']",39
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,"['AJ Finch', 'V Sehwag']","['JH Kallis', 'Iqbal Abdulla', 'B Lee', 'M de Lange']",44
Wankhede Stadium,1,Pune Warriors,Mumbai Indians,"['SC Ganguly', 'CJ Ferguson', 'RV Uthappa', 'MK Pandey', 'WD Parnell']","['SL Malinga', 'MM Patel', 'Harbhajan Singh', 'PP Ojha']",30
Wankhede Stadium,2,Mumbai Indians,Pune Warriors,"['KD Karthik', 'JEC Franklin', 'RG Sharma', 'AT Rayudu', 'RE Levi']","['M Kartik', 'WD Parnell', 'MN Samuels', 'AB Dinda']",21
Sawai Mansingh Stadium,1,Rajasthan Royals,Kings XI Punjab,"['R Dravid', 'AM Rahane']","['JP Faulkner', 'P Kumar', 'PP Chawla']",57
Sawai Mansingh Stadium,2,Kings XI Punjab,Rajasthan Royals,"['AC Gilchrist', 'SE Marsh', 'PC Valthaty', 'AM Nayar']","['A Singh', 'SK Trivedi', 'KK Cooper', 'J Botha']",45
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,"['V Kohli', 'AB McDonald', 'CA Pujara']","['UT Yadav', 'M Morkel', 'IK Pathan', 'DAJ Bracewell']",46
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,"['AJ Finch', 'NV Ojha', 'V Sehwag']","['R Vinay Kumar', 'Z Khan', 'AB McDonald']",45
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Chennai Super Kings,Deccan Chargers,"['F du Plessis', 'S Badrinath', 'M Vijay', 'SK Raina']","['Ankit Sharma', 'DW Steyn', 'MS Gony', 'DT Christian']",44
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Deccan Chargers,Chennai Super Kings,"['PA Patel', 'S Dhawan', 'DJ Harris']","['JA Morkel', 'DE Bollinger', 'R Ashwin']",40
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"['R Dravid', 'SP Goswami', 'AM Rahane']","['JH Kallis', 'Iqbal Abdulla', 'B Lee', 'SP Narine']",36
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"['JH Kallis', 'MK Tiwary', 'G Gambhir', 'BB McCullum', 'YK Pathan', 'DB Das']","['A Singh', 'AA Chavan', 'KK Cooper']",27
Subrata Roy Sahara Stadium,1,Pune Warriors,Kings XI Punjab,"['RV Uthappa', 'MN Samuels', 'JD Ryder', 'SC Ganguly']","['AD Mascarenhas', 'JP Faulkner', 'P Kumar']",34
Subrata Roy Sahara Stadium,2,Kings XI Punjab,Pune Warriors,"['AC Gilchrist', 'AM Nayar', 'PC Valthaty', 'Mandeep Singh']","['AB Dinda', 'A Nehra', 'MN Samuels', 'R Sharma']",19
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Deccan Chargers,Mumbai Indians,"['DT Christian', 'PA Patel', 'B Chipli', 'S Dhawan']","['SL Malinga', 'MM Patel', 'Harbhajan Singh', 'PP Ojha']",45
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Mumbai Indians,Deccan Chargers,"['TL Suman', 'RG Sharma', 'RE Levi', 'AT Rayudu']","['Ankit Sharma', 'DW Steyn', 'DT Christian']",29
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"['JH Kallis', 'G Gambhir']","['HV Patel', 'R Vinay Kumar', 'Z Khan', 'M Muralitharan']",60
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"['AB de Villiers', 'CA Pujara', 'SS Tiwary', 'CH Gayle', 'V Kohli']","['JH Kallis', 'B Lee', 'L Balaji']",20
Feroz Shah Kotla,1,Chennai Super Kings,Delhi Daredevils,"['S Badrinath', 'F du Plessis', 'SK Raina']","['UT Yadav', 'IK Pathan', 'M Morkel']",36
Feroz Shah Kotla,2,Delhi Daredevils,Chennai Super Kings,"['KP Pietersen', 'NV Ojha', 'V Sehwag']","['JA Morkel', 'R Ashwin', 'DE Bollinger']",50
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,"['TL Suman', 'RG Sharma', 'RE Levi']","['A Singh', 'AA Chavan', 'KK Cooper']",54
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,"['R Dravid', 'SP Goswami', 'AM Rahane', 'OA Shah']","['SL Malinga', 'JEC Franklin', 'MM Patel', 'PP Ojha']",44
"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,"['V Kohli', 'CH Gayle', 'MA Agarwal']","['DE Bollinger', 'JA Morkel', 'R Ashwin']",55
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,"['F du Plessis', 'M Vijay']","['RR Bhatkal', 'R Vinay Kumar', 'Z Khan', 'DL Vettori']",52
"Punjab Cricket Association Stadium, Mohali",1,Pune Warriors,Kings XI Punjab,"['MN Samuels', 'AD Mathews', 'SC Ganguly', 'RV Uthappa', 'JD Ryder']","['P Awana', 'P Kumar', 'AD Mascarenhas']",25
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Pune Warriors,"['SE Marsh', 'PC Valthaty', 'AC Gilchrist']","['AB Dinda', 'A Nehra', 'MN Samuels', 'AD Mathews']",38
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,"['R Dravid', 'AM Rahane']","['L Balaji', 'SP Narine', 'JH Kallis']",45
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,"['MS Bisla', 'JH Kallis', 'G Gambhir']","['A Singh', 'J Botha', 'AA Chavan']",32
Feroz Shah Kotla,1,Deccan Chargers,Delhi Daredevils,"['KC Sangakkara', 'PA Patel', 'S Dhawan']","['AB Agarkar', 'KP Pietersen', 'IK Pathan', 'M Morkel']",50
Feroz Shah Kotla,2,Delhi Daredevils,Deccan Chargers,"['KP Pietersen', 'DPMD Jayawardene', 'V Sehwag', 'LRPL Taylor', 'NV Ojha']","['DT Christian', 'DW Steyn', 'V Pratap Singh']",34
Subrata Roy Sahara Stadium,1,Chennai Super Kings,Pune Warriors,"['F du Plessis', 'M Vijay']","['MN Samuels', 'R Sharma', 'M Kartik', 'AB Dinda', 'A Nehra']",43
Subrata Roy Sahara Stadium,2,Pune Warriors,Chennai Super Kings,"['RV Uthappa', 'JD Ryder', 'SC Ganguly']","['JA Morkel', 'DJ Bravo', 'KMDN Kulasekara', 'R Ashwin']",53
Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,"['AC Gilchrist', 'SE Marsh', 'DJ Hussey', 'Mandeep Singh']","['JH Kallis', 'YK Pathan', 'SP Narine']",26
Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,"['MK Tiwary', 'MS Bisla', 'JH Kallis', 'G Gambhir']","['AD Mascarenhas', 'BA Bhatt', 'P Kumar']",46
M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"['R Dravid', 'AM Rahane']","['R Vinay Kumar', 'Z Khan', 'S Aravind']",43
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"['V Kohli', 'CH Gayle', 'MA Agarwal']","['A Singh', 'J Botha', 'Pankaj Singh']",54
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,"['DJ Jacobs', 'RG Sharma', 'RE Levi', 'AT Rayudu']","['M Morkel', 'S Nadeem', 'IK Pathan']",19
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,"['KP Pietersen', 'NV Ojha', 'V Sehwag']","['RP Singh', 'CJ McKay', 'MM Patel']",39
Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,"['KC Sangakkara', 'S Dhawan']","['A Singh', 'J Botha', 'Pankaj Singh']",51
Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,"['R Dravid', 'AM Rahane']","['Ankit Sharma', 'Anand Rajan', 'DW Steyn', 'DT Christian']",62
M Chinnaswamy Stadium,1,Pune Warriors,Royal Challengers Bangalore,"['RV Uthappa', 'JD Ryder']","['TM Dilshan', 'R Vinay Kumar', 'DL Vettori', 'HV Patel', 'Z Khan']",57
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Pune Warriors,"['TM Dilshan', 'CH Gayle', 'MA Agarwal']","['AB Dinda', 'B Kumar', 'A Nehra', 'MN Samuels']",35
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,"['AC Gilchrist', 'SE Marsh', 'PC Valthaty', 'Mandeep Singh']","['JH Kallis', 'B Lee', 'SP Narine']",41
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,"['MS Bisla', 'BB McCullum', 'G Gambhir']","['AD Mascarenhas', 'P Kumar', 'Harmeet Singh', 'PP Chawla']",53
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,"['KC Sangakkara', 'CL White', 'S Dhawan', 'DJ Harris']","['AD Russell', 'VR Aaron', 'IK Pathan', 'M Morkel']",33
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,"['DA Warner', 'NV Ojha', 'V Sehwag']","['TP Sudhindra', 'A Ashish Reddy', 'S Dhawan', 'MS Gony']",64
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Pune Warriors,"['S Badrinath', 'F du Plessis']","['M Kartik', 'B Kumar', 'A Nehra', 'MN Samuels']",41
"MA Chidambaram Stadium, Chepauk",2,Pune Warriors,Chennai Super Kings,"['RV Uthappa', 'MK Pandey', 'JD Ryder', 'SC Ganguly']","['DE Bollinger', 'KMDN Kulasekara', 'R Ashwin']",53
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Royal Challengers Bangalore,"['SE Marsh', 'PC Valthaty', 'DJ Hussey', 'N Saini']","['HV Patel', 'R Vinay Kumar', 'Z Khan']",41
"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Kings XI Punjab,"['AB de Villiers', 'SS Tiwary', 'CH Gayle', 'MA Agarwal', 'V Kohli']","['P Awana', 'P Kumar']",35
"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,"['R Dravid', 'AM Rahane', 'OA Shah']","['DE Bollinger', 'DJ Bravo', 'KMDN Kulasekara', 'R Ashwin']",41
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,"['S Badrinath', 'F du Plessis']","['GB Hogg', 'A Singh', 'KK Cooper', 'AL Menaria', 'STR Binny']",45
Feroz Shah Kotla,1,Pune Warriors,Delhi Daredevils,"['RV Uthappa', 'JD Ryder', 'SC Ganguly']","['UT Yadav', 'M Morkel', 'S Nadeem', 'IK Pathan']",50
Feroz Shah Kotla,2,Delhi Daredevils,Pune Warriors,"['DPMD Jayawardene', 'KP Pietersen', 'V Sehwag']","['A Nehra', 'M Kartik', 'AC Thomas', 'AD Mathews']",49
Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,"['JEC Franklin', 'SR Tendulkar']","['P Awana', 'BA Bhatt', 'Azhar Mahmood', 'P Kumar']",39
Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,"['Mandeep Singh', 'N Saini']","['RP Singh', 'KA Pollard', 'MM Patel', 'PP Ojha']",48
Barabati Stadium,1,Deccan Chargers,Kolkata Knight Riders,"['KC Sangakkara', 'PA Patel', 'S Dhawan']","['SP Narine', 'YK Pathan', 'B Lee', 'L Balaji']",39
Barabati Stadium,2,Kolkata Knight Riders,Deccan Chargers,"['MS Bisla', 'BB McCullum', 'G Gambhir']","['Ankit Sharma', 'DW Steyn', 'V Pratap Singh']",42
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"['TM Dilshan', 'V Kohli', 'MA Agarwal']","['A Chandila', 'Pankaj Singh', 'KK Cooper']",37
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"['R Dravid', 'AM Rahane']","['R Vinay Kumar', 'Z Khan', 'DL Vettori']",46
Subrata Roy Sahara Stadium,1,Pune Warriors,Delhi Daredevils,"['MK Pandey', 'RV Uthappa', 'JD Ryder', 'SC Ganguly']","['UT Yadav', 'M Morkel', 'IK Pathan']",28
Subrata Roy Sahara Stadium,2,Delhi Daredevils,Pune Warriors,"['DPMD Jayawardene', 'KP Pietersen', 'V Sehwag']","['A Nehra', 'LJ Wright', 'AC Thomas']",60
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,"['SE Marsh', 'Mandeep Singh', 'N Saini']","['RP Singh', 'RJ Peterson', 'CJ McKay', 'MM Patel']",44
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,"['JEC Franklin', 'SR Tendulkar']","['P Awana', 'BA Bhatt', 'P Kumar']",38
Subrata Roy Sahara Stadium,1,Deccan Chargers,Pune Warriors,"['CL White', 'PA Patel', 'S Dhawan']","['A Nehra', 'B Kumar', 'MN Samuels', 'AC Thomas']",50
Subrata Roy Sahara Stadium,2,Pune Warriors,Deccan Chargers,"['MK Pandey', 'RV Uthappa', 'JD Ryder', 'SC Ganguly']","['Ankit Sharma', 'JP Duminy', 'MS Gony', 'J Theron']",37
Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,"['DPMD Jayawardene', 'V Sehwag']","['SL Malinga', 'R Shukla', 'RP Singh']",54
Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,"['SR Tendulkar', 'KD Karthik', 'AC Blizzard', 'RG Sharma', 'AT Rayudu']","['UT Yadav', 'M Morkel', 'S Nadeem', 'IK Pathan']",48
"MA Chidambaram Stadium, Chepauk",1,Kings XI Punjab,Chennai Super Kings,"['SE Marsh', 'Mandeep Singh']","['JA Morkel', 'SB Jakati', 'KMDN Kulasekara', 'R Ashwin']",41
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kings XI Punjab,"['S Badrinath', 'F du Plessis', 'SK Raina']","['P Kumar', 'P Awana', 'BA Bhatt', 'Azhar Mahmood', 'Bipul Sharma']",48
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"['BB McCullum', 'G Gambhir']","['R Vinay Kumar', 'Z Khan', 'KP Appanna', 'DL Vettori']",44
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"['TM Dilshan', 'AB de Villiers', 'CH Gayle', 'SS Tiwary', 'V Kohli']","['SP Narine', 'YK Pathan', 'B Lee', 'JH Kallis']",31
Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,"['DPMD Jayawardene', 'LRPL Taylor', 'KP Pietersen', 'V Sehwag']","['A Singh', 'AA Chavan', 'Pankaj Singh', 'KK Cooper']",38
Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,"['R Dravid', 'AM Rahane']","['UT Yadav', 'M Morkel', 'S Nadeem', 'IK Pathan']",39
Wankhede Stadium,1,Deccan Chargers,Mumbai Indians,"['IR Jaggi', 'PA Patel', 'S Dhawan']","['SL Malinga', 'RP Singh', 'MM Patel', 'Harbhajan Singh']",38
Wankhede Stadium,2,Mumbai Indians,Deccan Chargers,"['SR Tendulkar', 'RG Sharma', 'RE Levi', 'KD Karthik']","['DT Christian', 'DW Steyn', 'V Pratap Singh']",29
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,"['DJ Bravo', 'F du Plessis', 'SK Raina', 'MEK Hussey']","['SP Narine', 'Iqbal Abdulla', 'B Lee', 'YK Pathan']",42
"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,"['JH Kallis', 'BB McCullum', 'G Gambhir']","['JA Morkel', 'SB Jakati', 'R Ashwin']",35
Barabati Stadium,1,Deccan Chargers,Pune Warriors,"['CL White', 'KC Sangakkara', 'PA Patel', 'S Dhawan']","['A Nehra', 'WD Parnell', 'B Kumar', 'MN Samuels']",33
Barabati Stadium,2,Pune Warriors,Deccan Chargers,"['MJ Clarke', 'MK Pandey', 'SC Ganguly']","['Ankit Sharma', 'JP Duminy', 'DW Steyn', 'V Pratap Singh']",48
Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Daredevils,"['R Dravid', 'AM Rahane']","['UT Yadav', 'S Nadeem', 'IK Pathan', 'M Morkel']",52
Sawai Mansingh Stadium,2,Delhi Daredevils,Rajasthan Royals,"['DPMD Jayawardene', 'KP Pietersen', 'V Sehwag']","['A Singh', 'SR Watson', 'AA Chavan', 'Pankaj Singh']",61
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"['V Kohli', 'CH Gayle', 'MA Agarwal']","['P Awana', 'RJ Harris', 'P Kumar']",33
M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,"['SE Marsh', 'Mandeep Singh', 'N Saini']","['R Vinay Kumar', 'Z Khan', 'AB McDonald']",49
Subrata Roy Sahara Stadium,1,Mumbai Indians,Pune Warriors,"['JEC Franklin', 'SR Tendulkar']","['B Kumar', 'M Kartik', 'AB Dinda', 'A Nehra', 'WD Parnell']",38
Subrata Roy Sahara Stadium,2,Pune Warriors,Mumbai Indians,"['MJ Clarke', 'RV Uthappa', 'JD Ryder']","['SL Malinga', 'Harbhajan Singh', 'MM Patel']",36
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Deccan Chargers,"['F du Plessis', 'SK Raina', 'M Vijay']","['Ankit Sharma', 'DW Steyn', 'DT Christian', 'V Pratap Singh']",55
"MA Chidambaram Stadium, Chepauk",2,Deccan Chargers,Chennai Super Kings,"['CL White', 'PA Patel', 'S Dhawan']","['JA Morkel', 'DJ Bravo', 'BW Hilfenhaus', 'R Ashwin']",47
Eden Gardens,1,Kolkata Knight Riders,Pune Warriors,"['BB McCullum', 'G Gambhir']","['M Kartik', 'WD Parnell', 'B Kumar', 'AB Dinda']",62
Eden Gardens,2,Pune Warriors,Kolkata Knight Riders,"['MJ Clarke', 'RV Uthappa', 'MK Pandey', 'SPD Smith']","['Iqbal Abdulla', 'M de Lange']",39
"Punjab Cricket Association Stadium, Mohali",1,Rajasthan Royals,Kings XI Punjab,"['R Dravid', 'SR Watson', 'AM Rahane']","['P Awana', 'RJ Harris', 'P Kumar']",59
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Rajasthan Royals,"['SE Marsh', 'DJ Hussey', 'Mandeep Singh', 'N Saini']","['SR Watson', 'AA Chavan', 'J Botha', 'SW Tait']",32
Wankhede Stadium,1,Chennai Super Kings,Mumbai Indians,"['F du Plessis', 'M Vijay']","['SL Malinga', 'RP Singh', 'RJ Peterson', 'MM Patel']",51
Wankhede Stadium,2,Mumbai Indians,Chennai Super Kings,"['JEC Franklin', 'SR Tendulkar', 'RG Sharma']","['JA Morkel', 'BW Hilfenhaus', 'R Ashwin']",46
M Chinnaswamy Stadium,1,Deccan Chargers,Royal Challengers Bangalore,"['S Dhawan', 'DJ Harris']","['P Parameswaran', 'A Mithun', 'Z Khan']",45
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Deccan Chargers,"['TM Dilshan', 'CH Gayle']","['Anand Rajan', 'DW Steyn', 'S Dhawan', 'V Pratap Singh']",46
Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,"['DPMD Jayawardene', 'DA Warner', 'LRPL Taylor', 'V Sehwag']","['JH Kallis', 'B Lee', 'PJ Sangwan', 'SP Narine']",50
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,"['BB McCullum', 'G Gambhir']","['UT Yadav', 'M Morkel', 'S Nadeem', 'IK Pathan']",60
Subrata Roy Sahara Stadium,1,Pune Warriors,Rajasthan Royals,"['MJ Clarke', 'RV Uthappa', 'SC Ganguly']","['SW Tait', 'AA Chavan', 'J Botha', 'SR Watson']",34
Subrata Roy Sahara Stadium,2,Rajasthan Royals,Pune Warriors,"['R Dravid', 'SR Watson', 'AM Rahane']","['M Kartik', 'WD Parnell', 'B Kumar', 'A Nehra']",49
"Rajiv Gandhi International Stadium, Uppal",1,Kings XI Punjab,Deccan Chargers,"['SE Marsh', 'Mandeep Singh']","['AA Jhunjhunwala', 'S Dhawan', 'J Theron', 'V Pratap Singh']",51
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kings XI Punjab,"['CL White', 'PA Patel', 'S Dhawan', 'DJ Harris']","['P Kumar', 'PP Chawla', 'P Awana', 'Azhar Mahmood', 'RR Powar']",39
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"['JEC Franklin', 'SR Tendulkar', 'RG Sharma', 'KD Karthik']","['HV Patel', 'R Vinay Kumar', 'Z Khan']",25
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,"['TM Dilshan', 'CH Gayle']","['SL Malinga', 'RP Singh']",35
Sawai Mansingh Stadium,1,Rajasthan Royals,Chennai Super Kings,"['STR Binny', 'R Dravid', 'SR Watson', 'AM Rahane']","['JA Morkel', 'BW Hilfenhaus']",28
Sawai Mansingh Stadium,2,Chennai Super Kings,Rajasthan Royals,"['MEK Hussey', 'SK Raina', 'M Vijay']","['SW Tait', 'SR Watson', 'Pankaj Singh']",36
Subrata Roy Sahara Stadium,1,Royal Challengers Bangalore,Pune Warriors,"['TM Dilshan', 'CH Gayle']","['K Upadhyay', 'B Kumar', 'AC Thomas']",61
Subrata Roy Sahara Stadium,2,Pune Warriors,Royal Challengers Bangalore,"['RV Uthappa', 'MJ Clarke', 'MD Mishra', 'AP Majumdar', 'MK Pandey']","['HV Patel', 'R Vinay Kumar', 'Z Khan', 'KP Appanna']",50
Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,"['SR Tendulkar', 'HH Gibbs', 'RG Sharma']","['SP Narine', 'Shakib Al Hasan', 'B Lee']",49
Eden Gardens,2,Kolkata Knight Riders,Mumbai Indians,"['MK Tiwary', 'MS Bisla', 'JH Kallis', 'G Gambhir']","['SL Malinga', 'MM Patel', 'PP Ojha']",32
"MA Chidambaram Stadium, Chepauk",1,Delhi Daredevils,Chennai Super Kings,"['Y Venugopal Rao', 'Y Nagar', 'DPMD Jayawardene', 'V Sehwag', 'DA Warner', 'NV Ojha']","['JA Morkel', 'BW Hilfenhaus']",27
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Delhi Daredevils,"['MEK Hussey', 'M Vijay']","['M Morkel', 'UT Yadav', 'VR Aaron']",45
Sawai Mansingh Stadium,1,Rajasthan Royals,Pune Warriors,"['R Dravid', 'SR Watson', 'AM Rahane']","['M Kartik', 'B Kumar', 'A Nehra', 'R Sharma']",44
Sawai Mansingh Stadium,2,Pune Warriors,Rajasthan Royals,"['SPD Smith', 'SC Ganguly', 'CJ Ferguson', 'RV Uthappa', 'AP Majumdar', 'JD Ryder']","['A Chandila', 'SW Tait', 'SR Watson']",32
"Punjab Cricket Association Stadium, Mohali",1,Deccan Chargers,Kings XI Punjab,"['PA Patel', 'S Dhawan']","['RJ Harris', 'P Kumar', 'P Awana', 'Azhar Mahmood', 'DJ Hussey']",41
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Deccan Chargers,"['SE Marsh', 'Azhar Mahmood', 'Mandeep Singh', 'N Saini']","['DT Christian', 'AA Jhunjhunwala', 'TP Sudhindra', 'DW Steyn']",44
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"['TM Dilshan', 'V Kohli', 'CH Gayle', 'SS Tiwary']","['SL Malinga', 'RP Singh', 'MM Patel']",28
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"['SR Tendulkar', 'KD Karthik', 'RG Sharma', 'AT Rayudu', 'HH Gibbs']","['HV Patel', 'R Vinay Kumar', 'Z Khan']",29
Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,"['BB McCullum', 'G Gambhir']","['SB Jakati', 'BW Hilfenhaus', 'R Ashwin']",50
Eden Gardens,2,Chennai Super Kings,Kolkata Knight Riders,"['MEK Hussey', 'M Vijay']","['JH Kallis', 'L Balaji', 'SP Narine', 'M de Lange']",51
Feroz Shah Kotla,1,Kings XI Punjab,Delhi Daredevils,"['SE Marsh', 'DJ Hussey', 'Mandeep Singh', 'N Saini']","['M Morkel', 'VR Aaron', 'IK Pathan', 'Y Venugopal Rao']",47
Feroz Shah Kotla,2,Delhi Daredevils,Kings XI Punjab,"['NV Ojha', 'DPMD Jayawardene', 'LRPL Taylor', 'V Sehwag', 'DA Warner', 'Y Venugopal Rao']","['P Awana', 'Azhar Mahmood', 'P Kumar']",37
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,"['MK Tiwary', 'JH Kallis', 'BB McCullum', 'G Gambhir']","['SL Malinga', 'RP Singh', 'MM Patel']",30
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,"['SR Tendulkar', 'HH Gibbs']","['L Balaji', 'Shakib Al Hasan', 'SP Narine', 'Iqbal Abdulla']",26
Himachal Pradesh Cricket Association Stadium,1,Chennai Super Kings,Kings XI Punjab,"['M Vijay', 'SK Raina', 'MEK Hussey', 'MS Dhoni']","['RJ Harris', 'Azhar Mahmood', 'P Kumar']",25
Himachal Pradesh Cricket Association Stadium,2,Kings XI Punjab,Chennai Super Kings,"['AC Gilchrist', 'Mandeep Singh']","['JA Morkel', 'BW Hilfenhaus', 'R Ashwin']",41
